Name,Code,Industry,myOpinion,Price,Change,Change%,Volume,PE,PB,"Market cap",Revenue,Profit,NetMargin,ROE,1M,3M,1Y,3Y,5Y,10Y
"Jay Shree Tea  and  Inds.",1889,General,,95.40," -5.60 "," -5.54% ","182,168",80.83,0.99,275.64,570.08,3.41,0.58,0.71,19.24,16.70,4.77,16.62,3.78,2.18
"Mahindra Lifespace",6274,"real Estate",,466.75," 3.00 "," 0.65% ","100,179",21.00,1.15,"2,391.64",584.09,67.92,10.12,3.13,-2.04,-26.65,-9.08,-0.97,4.21,2.46
"3M India",562,General,Explore,"24,513.75"," 59.25 "," 0.24% ","2,003",79.89,16.80,"27,486.77","2,592.45",344.06,13.01,22.48,-5.25,23.62,68.18,30.70,51.25,31.97
"8K Miles Software Services",7765,IT,,247.15," -13.00 "," -5.00% ","128,086",91.01,9.20,757.90,54.15,8.33,13.50,46.21,-26.89,-52.25,-36.36,-22.65,54.85,-
"Aarti Industries",39,Chemicals,Explore,"1,295.60"," -18.25 "," -1.39% ","35,295",30.68,6.55,"10,512.09","3,985.98",342.68,8.59,23.55,-7.27,6.32,48.47,38.89,78.56,40.65
"Aban Offshore",42,General,,94.85," -9.90 "," -9.45% ","1,002,073",-,-1.89,555.93,"1,328.94","-2,703.38",-194.64,-196.40,-16.43,-22.06,-48.59,-27.57,-15.03,-27.77
ABB,292,Engineering,,"1,431.95"," -7.30 "," -0.51% ","145,552",66.12,8.19,"30,386.60","9,932.98",459.55,4.58,12.18,12.74,18.78,-1.13,8.94,20.50,5.50
"Abbott India",2105,Pharma,Explore,"8,240.50"," -138.95 "," -1.66% ","18,632",40.74,9.99,"17,738.92","3,445.75",435.39,12.23,26.06,5.44,12.82,92.82,12.61,43.05,31.99
"ABC Bearings",228,Engineering,,437.65," 0.80 "," 0.18% ","3,119",30.17,3.33,505.49,206.58,16.75,8.00,8.92,-,-,-,-,-,-
ACC,338,Cement,,"1,539.60"," -24.10 "," -1.54% ","528,944",29.96,3.02,"28,950.22","14,083.57",955.68,6.71,10.06,-6.11,21.22,-12.01,3.63,6.50,9.75
"Action Construction Equipment",16862,"real Estate",YES,116.25," -5.65 "," -4.63% ","264,702",20.82,3.23,"1,363.88","1,233.76",65.52,5.28,14.53,-15.36,-15.61,75.74,43.68,68.44,7.96
"Adani Enterprises",57,Engineering,,138.45," -8.90 "," -6.04% ","12,829,824",19.85,1.01,"15,232.37","37,209.29",304.69,0.92,2.58,-35.09,6.62,8.42,19.47,-1.73,-6.84
"Adani Ports and Special Economic Zone",17950,Engineering,YES,361.75," -10.65 "," -2.86% ","3,241,191",20.80,3.44,"74,968.45","10,988.85","3,624.50",29.40,19.12,-4.29,-1.40,-11.81,2.81,20.93,14.75
"Adani Power",20391,Utilities,,26.10," -3.20 "," -10.92% ","35,274,496",-,169.81,"10,085.90","18,945.18","-2,461.48",-12.62,-107.63,-20.06,39.57,-19.32,1.72,-5.26,-
"Adani Transmission",22965,Utilities,YES,182.90," 4.45 "," 2.49% ","696,746",16.38,4.60,"20,115.53","3,958.96","1,228.18",29.71,31.95,7.65,17.85,38.19,91.37,-,-
"ADF Foods",174,"Consumer Goods",YES,232.15," -9.65 "," -3.99% ","62,475",24.10,3.00,460.72,211.15,19.11,8.71,10.61,-6.88,-5.17,-11.92,41.93,38.64,20.04
"Aditya Birla Capital",23831,General,,123.70," -3.55 "," -2.79% ","3,678,460",31.38,3.11,"27,208.44","13,745.73",927.03,6.64,13.21,-13.01,-9.64,-36.71,-,-,-
"Aditya Birla Fashion and Retail",22048,General,,182.90," -5.30 "," -2.82% ","1,369,815",97.97,13.00,"14,080.08","7,326.11",143.72,1.95,11.60,-3.84,24.85,9.23,-7.25,9.12,-
"Aditya Birla Money",18913,Bank/Finance,YES,53.25," -2.35 "," -4.23% ","87,622",29.05,6.43,300.53,164.53,10.35,6.05,26.16,-17.70,-7.71,-42.59,34.84,30.97,-0.59
"Advanced Enzyme Technologies",23459,"Consumer Goods",YES,199.05," -5.15 "," -2.52% ","221,519",21.45,3.79,"2,229.63",419.67,108.52,25.75,18.34,-6.86,-8.76,-23.97,-,-,-
"Aegis Logistics",87,Services,Explore,216.20," -0.25 "," -0.12% ","108,535",34.80,5.65,"7,150.94","4,951.78",226.15,4.56,20.92,-7.74,-10.10,-4.53,31.59,77.39,37.71
"Ahluwalia Contracts",6295,Engineering,,285.45," -0.55 "," -0.19% ","4,627",16.73,2.93,"1,909.15","1,546.28",114.11,7.35,20.50,-8.12,-18.80,-10.46,3.73,75.64,12.35
"AIA Engineering",16461,Engineering,Explore,"1,788.00"," -8.35 "," -0.46% ","74,871",36.73,5.42,"16,892.78","2,590.39",459.74,16.94,15.49,-0.29,15.69,29.40,23.07,41.02,19.23
"Ajanta Pharma",6424,Pharma,YES,"1,108.15"," -72.30 "," -6.12% ","541,790",20.43,4.56,"9,796.96","2,168.73",479.64,21.74,25.97,-9.88,6.28,-11.81,-8.51,29.43,59.01
"Ajmera Realty  and  Infra India",3603,"real Estate",YES,197.10," -7.25 "," -3.55% ","93,140",8.70,1.22,700.83,329.98,81.39,24.18,15.91,-3.21,-8.89,-16.78,27.09,27.72,10.57
"Aksharchem (I)",359,Chemicals,YES,492.00," -17.00 "," -3.34% ","4,385",13.02,1.65,403.57,276.44,30.99,10.84,47.45,-3.60,-13.11,-33.03,58.00,59.95,41.43
"Akzo Nobel India",1623,Pharma,,"1,646.95"," 7.80 "," 0.48% ","4,346",38.11,5.95,"7,932.25","2,832.58",402.79,7.23,34.83,-5.33,-11.35,-14.07,7.03,15.03,13.79
"Alembic Pharmaceuticals",21475,Pharma,,654.25," 16.55 "," 2.60% ","171,702",28.03,5.29,"12,232.80","3,345.15",447.91,13.35,20.42,10.55,25.35,30.76,-1.90,36.66,-
"Alkem Laboratories",17126,Pharma,,"2,083.65"," 15.60 "," 0.75% ","46,127",35.76,4.97,"24,869.52","6,788.10",711.91,10.36,13.69,-0.51,6.72,15.68,-,-,-
"Alkyl Amines Chemicals",133,Chemicals,YES,619.45," -0.65 "," -0.10% ","5,041",18.06,3.98,"1,252.75",643.45,69.35,10.73,22.61,-6.06,-9.68,37.62,26.95,53.25,28.93
"Allahabad Bank",6798,Bank/Finance,,37.85," -1.70 "," -4.30% ","6,175,904",-,0.55,"3,997.61","16,810.14","5,193.35",0.00,-1.87,-7.23,-13.09,-47.47,-21.67,-14.54,-5.07
"Allcargo Logistics",16704,Services,,103.60," -7.50 "," -6.75% ","458,327",15.68,1.27,"2,560.15","6,188.47",157.14,2.53,9.01,-15.57,-3.94,-40.06,-11.13,19.23,1.92
"Alphageo (India)",144,Services,,614.10," -26.80 "," -4.18% ","12,679",7.00,1.57,394.74,445.02,56.37,12.61,26.97,-8.71,-1.50,-21.92,9.74,77.59,6.08
"Amara Raja Batteries",161,Auto,,752.40," -37.25 "," -4.72% ","603,744",26.48,4.21,"12,830.58","6,340.37",484.50,7.56,17.04,-12.95,-1.01,-2.80,-9.31,19.71,34.89
"Amber Enterprises",24149,"Consumer Goods",,948.65," 19.30 "," 2.08% ","38,250",47.70,3.33,"2,972.01",-,-,-,9.93,1.48,-1.61,-,-,-,-
"Ambuja Cements",1374,Cement,,225.45," 0.45 "," 0.20% ","3,464,829",28.01,2.10,"44,389.10","24,842.26","2,015.22",8.00,9.54,-5.81,14.44,-18.54,2.41,3.16,10.23
"Amrutanjan Health Care",6093,Pharma,Explore,279.20," -10.20 "," -3.52% ","35,450",42.71,6.41,816.27,229.29,19.84,8.14,16.35,13.77,3.43,-7.78,10.87,37.50,24.85
"Anant Raj",200,"Real Estate",,42.75," -5.15 "," -10.75% ","1,738,098",19.94,0.30,"1,248.26",474.16,53.44,10.21,1.60,-1.04,3.50,-28.58,8.44,0.23,-9.00
"Andhra Bank",6470,Bank/Finance,,29.45," -1.50 "," -4.85% ","7,885,525",-,0.37,"3,524.57","18,100.08","6,353.93",2.94,-1.44,-10.62,-13.00,-51.60,-24.43,-11.89,-7.05
"Apar Industries",1378,Engineering,YES,610.40," -6.15 "," -1.00% ","18,558",17.27,2.05,"2,326.73","6,009.75",134.75,2.24,13.50,-3.81,-17.17,-23.83,12.28,46.19,14.19
"APL Apollo Tubes",4622,Auto,YES,"1,514.80"," -32.20 "," -2.08% ","60,408",21.76,4.16,"3,659.14","5,847.79",168.13,2.87,20.67,-9.78,-17.91,-15.73,44.46,55.76,23.65
"Apollo Hospitals",239,Services,,"1,044.25"," -26.65 "," -2.49% ","1,087,190",56.32,3.87,"14,538.58","7,521.09",258.14,3.42,1.81,-11.64,1.99,-1.59,-8.51,3.84,16.29
"Apollo Micro Systems",24144,Engineering,,131.80," -6.35 "," -4.60% ","27,688",11.49,1.05,272.94,243.95,23.75,9.65,29.35,-18.06,-24.45,-,-,-,-
"Apollo Pipes",7458,General,YES,517.35," -3.50 "," -0.67% ","12,139",20.72,4.69,573.79,311.12,27.69,8.63,21.54,-5.11,-1.86,77.59,64.34,79.76,-
"Apollo Tyres",241,Auto,,231.20," -8.65 "," -3.61% ","5,453,773",14.94,1.32,"13,257.26","15,846.11",887.38,5.55,8.49,-11.96,-15.70,-10.18,6.13,25.99,20.22
Arcotech,18073,Engineering,,13.15," -0.65 "," -4.71% ","95,235",128.45,0.60,138.60,753.40,1.08,0.14,12.42,-14.52,-29.47,-85.10,-44.45,-22.75,16.22
"Arihant Superstructures",7861,"Real Estate",YES,67.80," -3.60 "," -5.04% ","32,787",21.97,2.36,281.53,173.76,15.25,8.71,36.94,1.25,-38.92,-61.54,24.08,13.35,-
Arvind,284,Manufacturing,,364.15," -15.35 "," -4.04% ","2,518,743",29.83,2.46,"9,433.06","11,185.16",322.04,2.86,8.55,-10.57,-11.25,-7.74,7.74,34.53,29.39
"Asahi India Glass",291,General,Explore,342.85," 10.15 "," 3.05% ","69,460",45.26,7.38,"8,265.06","2,751.22",177.28,6.40,17.15,4.62,2.85,-13.31,33.26,55.64,22.14
"Asahi Songwon Colors",17315,Chemicals,YES,266.10," -10.30 "," -3.73% ","9,817",12.81,1.73,321.66,305.21,25.11,8.16,17.10,-6.49,-3.79,-15.27,27.71,34.44,22.59
"Ashapura Intimates Fashion",22041,Manufacturing,YES,439.75," -3.30 "," -0.74% ","157,265",18.69,4.94,"1,109.30",343.87,59.36,15.45,35.19,-4.33,-3.19,-7.97,21.59,40.08,-
"Ashiana Housing",296,"Real Estate",,143.65," -1.35 "," -0.93% ","60,908",30.39,1.94,"1,514.81",383.92,49.85,12.49,5.14,-6.23,0.86,-19.56,-4.97,28.28,30.33
"Ashok Leyland",306,Auto,Explore,122.30," -3.50 "," -2.78% ","19,321,909",19.75,4.82,"35,974.89","28,182.67","1,821.46",6.42,26.34,-4.97,-9.47,4.26,11.52,53.97,23.32
"Ashoka Buildcon",21008,Engineering,,113.05," -4.25 "," -3.62% ","639,916",12.22,1.52,"3,103.40","2,423.67",253.96,9.96,-45.29,-20.13,-24.53,-12.81,0.80,28.92,-
"Asian Granito India",17602,Manufacturing,YES,208.85," -11.00 "," -5.00% ","86,497",12.99,1.43,624.46,"1,168.58",49.34,4.21,13.09,-10.71,-38.45,-58.24,20.98,48.32,16.77
"Asian Paints",329,Chemicals,Explore,"1,304.75"," 13.40 "," 1.04% ","1,867,297",57.61,13.93,"124,993.06","17,432.56","2,179.86",11.98,25.62,-7.02,4.13,6.15,16.27,21.70,27.35
"Astec Lifesciences",20554,Pharma,Explore,551.90," -29.05 "," -5.00% ","49,660",33.60,6.41,"1,092.34",364.05,32.54,8.81,22.90,-11.64,-21.22,-5.32,30.65,88.91,-
"Astra Microwave Products",7374,General,YES,86.15," -3.15 "," -3.53% ","190,038",11.61,1.47,749.19,363.69,64.51,16.90,12.92,-11.20,-15.75,-36.12,-7.81,18.49,10.25
"Astral Poly Technik",17181,Chemicals,Explore,"1,072.40"," -1.05 "," -0.10% ","35,586",68.87,12.27,"12,931.60","2,175.95",191.31,8.74,19.16,-4.22,5.61,46.57,35.83,57.71,52.89
"Astrazeneca Pharma India",346,Pharma,,"1,723.75"," 9.35 "," 0.55% ","60,744",161.58,17.14,"4,305.63",604.96,26.65,4.33,11.12,-5.73,27.69,83.79,13.92,15.66,11.17
"Astron Paper  and  Board Mill",24095,"consumer Goods",,120.75," -10.65 "," -8.11% ","1,156,655",24.68,4.26,559.16,283.07,22.65,7.98,24.41,5.64,17.98,-,-,-,-
Atul,358,Chemicals,YES,"3,152.60"," -60.30 "," -1.88% ","59,747",28.96,4.06,"9,272.26","3,345.57",320.17,9.44,13.16,5.08,17.68,35.06,27.92,57.37,48.35
"Atul Auto",356,Auto,,350.40," -26.25 "," -6.97% ","61,349",15.89,3.37,773.17,576.75,48.67,8.38,22.90,-9.78,-11.72,-27.25,-7.23,31.65,40.49
"AU Small Finance Bank",21728,Bank/Finance,,644.95," -31.00 "," -4.59% ","662,314",60.66,7.05,"18,624.94","2,006.46","1,043.33",0.00,2.04,-7.81,-6.58,16.48,-,-,-
"Aurobindo Pharma",363,Pharma,,762.70," -13.25 "," -1.71% ","4,395,912",18.91,3.68,"44,625.65","17,071.36","2,357.97",13.71,22.99,15.10,25.33,1.34,2.34,51.79,37.70
"Automotive Axles",370,Auto,YES,"1,390.00"," -51.95 "," -3.60% ","43,980",21.15,4.47,"2,115.68","1,700.44",100.03,5.87,20.45,5.85,12.67,57.85,26.50,47.04,17.98
"Avanti Feeds",374,"Consumer Goods",YES,439.70," -9.20 "," -2.05% ","1,044,785",15.40,5.27,"5,934.18","3,434.97",406.92,11.67,55.84,-3.21,-16.34,-38.14,31.46,96.90,70.74
"Avenue Supermarts",22663,General,,"1,501.85"," -13.30 "," -0.88% ","706,967",108.84,19.23,"93,653.24","15,972.47",860.50,5.37,18.56,-5.40,0.77,40.48,-,-,-
"Axis Bank",5745,Bank/Finance,YES,599.20," -9.60 "," -1.58% ","24,788,799",-,2.40,"153,988.17","47,504.84","19,168.39",3.67,0.07,-5.75,16.79,16.91,4.30,22.11,15.49
"Bajaj Auto",18752,Auto,,"2,799.20"," 9.10 "," 0.33% ","466,306",18.25,3.77,"80,753.65","27,128.36","4,161.55",14.69,20.54,2.59,-1.09,-9.08,6.72,7.03,24.83
"Bajaj Corp",20914,"Consumer Goods",YES,449.60," -3.20 "," -0.71% ","69,390",31.14,11.98,"6,696.50",855.19,215.06,24.73,42.79,8.08,10.02,12.06,-0.91,10.84,-
"Bajaj Electricals",418,"Consumer Goods",Explore,516.10," -10.40 "," -1.98% ","256,718",50.84,5.40,"5,269.32","4,826.91",103.65,2.12,10.60,-5.40,-2.78,36.76,27.10,25.86,20.00
"Bajaj Finance",416,Bank/Finance,YES,"2,379.40"," -120.15 "," -4.81% ","5,750,880",47.88,7.94,"137,822.34","13,952.97","2,878.39",20.56,20.46,-17.15,5.40,23.96,68.85,78.94,69.73
"Bajaj Finserv",18751,Bank/Finance,YES,"6,259.70"," -52.35 "," -0.83% ","681,976",34.17,4.43,"99,515.13","32,825.45","4,652.54",14.17,23.27,-12.04,4.48,14.10,51.84,59.74,32.71
"Bajaj Hindusthan",420,"Consumer Goods",,10.40," -1.15 "," -9.96% ","19,903,429",-,0.35,"1,181.17","5,647.68",-565.62,-9.66,-15.60,58.12,50.80,-28.38,-7.90,-3.04,-21.16
"Bajaj Holdings  and  Inv",417,Bank/Finance,YES,"3,101.35"," 37.40 "," 1.22% ","120,042",10.56,1.61,"34,445.34",910.75,744.73,81.32,4.07,2.56,-3.49,10.81,25.90,31.39,21.58
"Bal Pharma",427,Pharma,YES,94.05," -4.90 "," -4.95% ","127,001",18.29,1.77,131.94,217.16,7.21,3.30,0.59,4.56,18.14,-7.84,10.04,43.75,14.43
"Balaji Amines",430,Chemicals,YES,535.95," 3.80 "," 0.71% ","44,882",13.73,3.41,"1,705.91",937.12,124.25,13.20,27.29,-3.87,-9.64,43.60,62.13,72.43,37.32
"Balaji Telefilms",6598,General,,103.05," -3.15 "," -2.97% ","165,263",-,1.28,"1,062.14",392.12,-49.94,-12.09,-6.81,-4.09,-17.72,-35.73,4.21,25.70,-3.71
"Balkrishna Industries",438,Auto,YES,"1,085.00"," -22.45 "," -2.03% ","1,175,566",25.86,4.88,"21,110.24","4,814.91",816.35,15.88,19.30,-19.31,-1.95,27.46,47.15,56.47,39.49
"Balmer Lawrie  and  Co.",440,Services,YES,196.50," -3.55 "," -1.77% ","130,081",11.39,1.71,"2,208.23","1,749.71",193.81,10.64,11.70,-10.60,-9.45,-14.75,12.69,20.05,14.25
"Balrampur Chini Mills",443,General,YES,79.10," -8.50 "," -9.70% ","27,361,541",10.28,1.08,"1,795.53","4,266.81",174.70,4.07,13.93,10.09,17.45,-53.57,16.58,14.28,-0.98
"Banco Products (I)",449,Auto,YES,207.15," -4.75 "," -2.24% ","79,417",11.93,1.78,"1,494.74","1,469.19",125.26,8.44,15.30,-8.45,-2.71,-6.29,19.09,42.35,21.31
"Bandhan Bank",23218,Bank/Finance,YES,569.60," -32.70 "," -5.43% ","4,891,350",50.33,6.87,"67,715.54",-,-,10.30,3.61,-16.85,5.96,-,-,-,-
"Bank of Baroda",451,Bank/Finance,,111.45," -4.90 "," -4.21% ","46,559,986",-,0.67,"29,537.19","44,735.71","16,497.90",2.65,-0.26,-26.14,-8.65,-23.45,-16.58,0.26,5.57
"Bank of India",452,Bank/Finance,,86.45," -3.70 "," -4.10% ","9,518,376",-,0.50,"15,085.48","38,588.63","11,327.62",2.49,-0.97,-9.90,-7.64,-42.94,-15.54,-14.04,-11.19
"BASF India",384,Chemicals,Explore,"1,829.50"," -26.85 "," -1.45% ","7,971",29.64,5.86,"8,011.74","5,704.55",270.27,4.72,20.18,-6.21,-6.54,17.59,18.96,28.86,21.40
"Bata India",467,General,Explore,973.55," -13.85 "," -1.40% ","1,030,412",50.96,8.02,"12,519.87","2,690.50",245.70,8.96,15.76,-5.85,16.68,30.75,19.27,18.54,29.11
"Bayer CropScience",471,Chemicals,,"4,221.15"," -148.40 "," -3.40% ","18,479",43.12,7.52,"14,471.61","2,843.70",335.60,11.66,15.65,4.37,-7.77,2.84,4.07,22.66,31.03
"Beekay Steel",22825,Mines/Mineral,,338.80," -26.15 "," -7.17% ","17,759",7.33,1.97,646.16,"1,042.25",88.17,8.35,16.68,-6.03,13.84,45.75,-,-,-
BEML,515,Engineering,,713.30," -24.60 "," -3.33% ","934,959",54.84,1.46,"2,974.46","3,128.44",54.24,1.72,5.92,-14.02,-16.82,-60.95,-16.46,37.64,-0.09
"Berger Paints India",488,Chemicals,Explore,301.20," 1.50 "," 0.50% ","1,454,514",60.40,12.53,"29,160.18","5,401.62",484.48,8.89,22.49,-9.66,6.15,15.34,24.19,30.64,35.96
"BF Utilities",6711,Utilities,YES,283.60," -20.85 "," -6.85% ","320,738",43.77,9.85,"1,071.46",16.49,24.48,56.25,0.00,-15.81,-15.69,-31.92,-16.47,13.83,-15.96
"BGR Energy Systems",18059,Utilities,,66.25," -6.25 "," -8.62% ","269,818",132.30,0.34,476.27,"3,052.45",3.60,0.12,0.09,-18.91,-34.21,-55.12,-15.66,-8.35,-13.65
"Bhansali Engineering Polymers",510,Chemicals,Explore,140.25," -2.35 "," -1.65% ","1,389,983",23.33,8.45,"2,321.85","1,144.93",99.53,8.59,47.59,0.54,-8.38,58.22,111.42,52.37,28.60
"Bharat Bijlee",513,Engineering,YES,"1,329.35"," -50.10 "," -3.63% ","20,879",9.66,1.07,750.05,822.36,77.66,9.15,9.08,-0.18,1.62,11.29,32.16,32.62,0.93
"Bharat Electronics",516,Manufacturing,,80.15," -2.45 "," -2.97% ","12,343,708",13.43,2.46,"19,529.29","10,699.56","1,453.70",13.41,17.87,-32.42,-26.70,-53.15,-7.16,19.50,11.32
"Bharat Financial Inclusion",20575,Bank/Finance,YES,"1,090.30"," -24.05 "," -2.16% ","1,277,988",24.17,5.01,"15,337.91","2,117.32",634.60,28.20,17.08,-9.85,-7.17,12.93,40.00,51.60,-
"Bharat Forge",518,Manufacturing,Explore,624.55," -14.50 "," -2.27% ","2,281,161",38.64,6.11,"29,623.08","5,594.84",766.68,13.40,17.21,-2.54,2.82,-0.16,11.43,36.97,18.46
"Bharat Rasayan",527,Chemicals,YES,"7,175.15"," -180.65 "," -2.46% ","2,225",28.49,9.49,"3,067.59",871.28,107.67,12.31,31.37,-0.19,15.75,152.42,96.23,-,63.28
"Bharti Airtel",6321,General,,370.50," 0.45 "," 0.12% ","5,503,664",179.57,2.13,"148,863.18","81,809.80","1,104.70",1.33,1.64,0.61,0.49,-7.40,1.69,1.48,-0.83
"Bharti Infratel",21887,Services,YES,281.20," 10.30 "," 3.80% ","3,625,576",20.98,2.99,"51,770.53","6,724.80","1,189.50",16.90,7.34,-2.64,0.52,-27.74,-11.28,11.43,-
BHEL,520,Engineering,,71.50," -3.35 "," -4.48% ","11,280,098",29.78,0.80,"26,250.51","29,006.77",881.36,2.94,2.56,-5.30,-5.24,-19.03,-19.69,-4.56,-10.93
Biocon,15774,Pharma,Explore,676.90," 8.90 "," 1.33% ","5,936,209",98.75,7.73,"40,566.00","4,319.80",476.00,10.48,8.74,10.55,9.12,85.88,66.42,43.36,26.51
